row_id,KQI_Degradate_Flag,E_RAB_Estab.-SR,RRC_Recon._rate,RRC_Estab.-SR,DL_PRB_avg_Utilz._rate,Maximum_num_of_users,Mean_num_of_users,UL_PRB_avg_Utilz._rate,UE_Context_DR,E_RAB_Context_DR,DL_avg_Pckt_delay,Inner_HO-SR,X2_HO-SR,RSRP_Coverage_rate,CQI_up_seven,RSSI,Avg_distance
260,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
261,1,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1
262,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
263,1,1,2,2,2,2,2,2,1,1,2,2,2,0,2,2,1
264,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
265,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
266,1,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2
267,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
268,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
269,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,1
270,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
271,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
272,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
273,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
274,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
275,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
276,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
277,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
278,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
279,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2
280,1,2,1,2,2,2,2,2,2,2,1,2,2,0,0,2,1
281,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
282,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
283,1,2,1,2,2,2,2,2,2,2,2,2,2,0,0,2,1
284,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
285,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
286,1,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,2
287,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
288,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
289,1,2,2,2,2,2,2,2,1,1,2,2,2,0,1,2,1
290,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
291,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
292,1,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2
293,1,2,1,2,2,2,2,2,0,2,2,2,2,1,2,2,2
294,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
295,1,2,1,2,2,2,2,2,2,2,1,2,2,0,2,2,0
296,1,2,0,2,2,2,2,2,1,2,2,2,2,0,1,2,0
297,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
298,1,2,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2
299,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
300,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
301,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
302,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
303,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
304,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
305,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
306,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
307,1,2,2,2,2,2,2,2,2,1,2,2,2,0,1,2,0
308,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1
309,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
310,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
311,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
312,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
313,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
314,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
315,1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,1
316,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
317,1,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,1
318,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
319,1,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,1
320,1,2,2,2,2,2,2,2,1,0,2,2,2,1,1,2,1
321,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
322,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
323,1,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2
324,1,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2,1
